job_id,industry,role,rank,skill_sets,category_label
1,化学工業,安全管理者,シニア,"- 長年の経験と知識を持った化学工業の安全管理に堪能すること
- 法令や規制に基づいた安全管理計画の策定および実施
- 労働安全法、環境対策法、火災Prevencion法などの法令に堪能すること
- 労働者の安全訓練の計画、実施、評価の能力
- 労働災害の事例研究、分析、対策策定の能力
- 安全環境の継続的改善に努めること
- 労働者の安全意識向上に努めること
- 安全関連事業者との協力関係の整備および維持の能力
- 労働者の安全意識調査の計画、実施、評価の能力
- 災害時のリーダーシップの発揮",0
2,物流・運輸業,物流コーディネーター,ミドル,"- 物流業界の知識と経験
- 日本語と英語の流暢なコミュニケーション能力
- 計画と調整のスキル
- 仕入れと販売のスキル
- 関連法令や規制の知識
- 情報システムの操作能力
- 倉庫管理の知識
- 輸送手段の選定能力
- 仕入れ先や販売先とのネットワーク
- リスクマネジメントのスキル",26
3,農業,物流担当,ミドル,"- 農業物流の知識と経験
- 貨物管理と配送計画の作成
- 仕入れと倉庫管理のスキル
- 購買と販売の知識
- 財務管理と予算 planing
- 人間関係のスキル
- 計画と組織の能力
- クライアント対応とサービス精度
- IT技能（WMS, TMS, ERP）
- 英語の基本的な会話能力",26
4,物流・運輸業,倉庫管理,ジュニア,"- 倉庫管理の基礎知識
- 在庫管理の基本的な手続き
- 品質管理の知識
- 安全管理の基礎知識
- 仕入れ管理の基本的な手続き
- 倉庫作業の指示能力
- 在庫の整理能力
- 在庫の確認能力
- 倉庫の清掃能力
- 倉庫の安全確保能力",12
5,卸売業,受注管理,ジュニア,"- 注文受付と確認の手続きに堪能な経験
- 在庫管理と注文処理の知識
- 商品情報の入力と更新に堪能な能力
- 顧客サポートに堪能なコミュニケーション能力
- 注文管理システムの操作に堪能なITスキル
- 卸売業界の知識と業界標準に堪能な知識
- 販売データの分析とレポート作成に堪能な能力
- 倉庫管理と倉庫作業の知識
- 販売促進活動の計画と実行に堪能な能力
- 品質管理と品質確認の知識",6
6,広告・マーケティング業,グラフィックデザイナー,シニア,"- 高度なグラフィックデザイン能力
- 5年以上の経験
- 広告・マーケティング戦略に基づいたデザインの実現
- 様々なデザインソフトウェアの使いこなし
- チームでの協調とコミュニケーション能力
- クリエイティブなアイデアの提供
- タイムライン管理とプロジェクト管理
- ブランディングとビジュアルアイデンティティの開発
- 印刷物やウェブデザインに堪能なデザイン能力
- 英語に堪能なコミュニケーション能力",21
7,宇宙開発業,安全管理者,シニア,"- 深い知識と経験がある宇宙法規・標準に堪能すること
- 安全管理システムの設計、実装、維持に堪能すること
- リスク評価とマネジメントに堪能すること
- 堪能なリーディングとコミュニケーション能力
- 事故調査と分析に堪能すること
- 堪能な計画立案、実行、監視能力
- 堪能な組織管理能力
- 堪能な災害対策計画の作成と実施能力
- 堪能な労働環境の作り出し能力
- 堪能な協力関係者との協調能力",9
8,メディア・エンターテインメント業,ディレクター,シニア,"- 10年以上の経験があること
- 映画やテレビプログラムの制作に堪能な経験
- 人材育成やチームリーダーシップ能力
- 創造力とアイデアの豊富さ
- 予算管理やスケジュール管理能力
- 映画やテレビプログラムの製作プロセス全体を把握していること
- 広範なネットワークを持っていること
- 映画やテレビプログラムの市場動向に堪能な知識
- 英語の流暢な会話能力",1
9,不動産業,コンサルタント,シニア,"- 不動産市場の深い理解と経験
- 不動産法令や政策の知識
- 顧客対応やネゴシエーション能力
- 事業計画や予算管理のスキル
- 不動産開発プロジェクトの計画と実行
- リスク管理と戦略的考え方
- 業界網を取り巻く関係の築き方
- 経営戦略の立案と推進
- 不動産資産の評価と調整
- 企業コミュニケーションやプレゼンテーション能力",15
10,製薬業,購買担当,ミドル,"- 薬品購買の経験
- 価格負帳管理の経験
- 供給鎖の整備と管理
- 財務分析の能力
- 契約のネゴシエーション能力
- 購買戦略の開発能力
- 仕入先管理の経験
- 品質管理の経験
- 在庫管理の経験
- 業界知識",6
